Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C13, C14, C2, C3, C4, C5, C6, C_MID1, C_SRN_GND1, C_SRP_GND1, C_SRP_SRN1",0603,14,100 nF,
C12,0201,1,100 nF,
"C15, C16, C17, C9",0603,4,4.7u,
"C18, C19",0805,2,10uF,
"C20, C21, C22, C23, C24, C_CELL_FLT1, C_CELL_FLT2, C_CELL_FLT3, C_CELL_FLT4, C_CELL_FLT5, C_CELL_FLT6, C_PACK_FLT1",0603,12,10n,
"C7, C8",0603,2,15p,
"C_3V3_1, C_REG1, C_VDD1, C_VREF1",0603,4,1 μF,
C_CP1,0603,1,47 nF,
C_REGIN1,0603,1,3.3 μF,
C_TOP_FLT1,0603,1,470 nF,
"D1, D16, D18, D2, D21, D3, D4, D5, D9",0603,9,LED,
"D10, D11, D12, D13, D14, D15",Nexperia_CFP3_SOD-123W,6,"PTVS5V0S1UR,115",
D17,D_SMB,1,TPSMB28CA-VR,
D19,D_SOD-123,1,BAT46GWJ,
"D20, D_CHG_VGS1, D_CHG_VGS2",Nexperia_CFP3_SOD-123W,3,TPSMF4L16A,
"D6, D7, D8",D_SOD-323F,3,SS16HE,
DAGND_CO1,D_SOD-323,1,4.7V 200MW,
"FB1, FB2",0603,2,120Ω@100MHz,
J1,SAMESKY_UJ20-C-H-G-SMT-1-P16-TR,1,UJ20-C-H-G-SMT-1-P16-TR,
"J10, J11, J9",JST_GH_SM02B-GHS-TB_1x02-1MP_P1.25mm_Horizontal,3,Conn_01x02_Pin,
"J12, J3, J5, J6",PinHeader_1x03_P2.54mm_Vertical,4,Conn_01x03_Socket,
J2,AMASS_XT30PW-F_1x02_P2.50mm_Horizontal,1,Conn_01x02_Socket,
J4,JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal,1,Conn_01x04_Socket,
J8,AMASS_XT30PW-M_1x02_P2.50mm_Horizontal,1,Conn_01x02_Pin,
L1,rp_inductor,1,3.3u,
Q1,SOT230P700X185-4N,1,FZT853TA,
"Q2, Q3, Q4, Q5",TO-263-2,4,PSMN3R7-100BSE,
Q6,SOT-23,1,Q_PMOS_GDS,
"R1, R2",0603,2,5.1k,
"R10, R11, R8, R9",0603,4,33k,
"R12, R14, R15, R22, R3, R4, R5, R_CELL_FLT1, R_CELL_FLT2, R_CELL_FLT3, R_CELL_FLT4, R_CELL_FLT5, R_CELL_FLT6, R_CELL_FLT7",0603,14,1k,
"R13, R23, R24, R25, R29, R30, R32, R34",0603,8,10k,
"R16, R17",0201,2,27,
"R18, R20, R21",0603,3,470,
R19,0603,1,33,
R31,0603,1,R,
"R33, R35",0603,2,1MΩ,
"R6, R7, R_CHG_DRIVER1, R_CHG_MG1, R_CHG_MG2, R_DSG_DRIVER1, R_DSG_MG1, R_DSG_MG2, R_MID1, R_PACK_FLT1, R_SRN_FLT1, R_SRP_FLT1, R_TOP_FLT1",0603,13,100,
"R_BAL_1, R_BAL_2, R_BAL_3, R_BAL_4, R_BAL_5, R_BAL_6",1206,6,43 Ω,
"R_CHG_PUP1, R_DSG_PUP1",0603,2,10 MΩ,
"R_GATE1, R_GATE2, R_GATE3, R_GATE4, R_GATE5, R_GATE6",0603,6,10 Ω,
R_REG1,1206,1,500 Ω,
R_SENSE1,2512,1,2 mΩ,
"TP1, TP11, TP12, TP13, TP14, TP2, TP3",Harwin TP,7,TestPoint,
TP10,Harwin TP,1,CELL0,
TP4,Harwin TP,1,CELL6,
TP5,Harwin TP,1,CELL5,
TP6,Harwin TP,1,CELL4,
TP7,Harwin TP,1,CELL3,
TP8,Harwin TP,1,CELL2,
TP9,Harwin TP,1,CELL1,
U1,SOT-23-6,1,USBLC6-2SC6,
"U10, U5, U6, U7, U8, U9",SC_4EEH-T1_GE3_VIS,6,SQ1464EEH-T1_GE3,
U11,TQFP-48_MP2790_MNP,1,MP2790DFP-0000-T,
U2,SOIC-8_5P28X5P28_WIN,1,W25Q64JVSSIQ,
U3,QFN-60-1EP_7x7mm_P0.4mm_EP3.4x3.4mm_ThermalVias,1,RP2350A,
U4,VSSOP8_DGN_TEX,1,TPS7B8133QDGNRQ1,
X1,ABM8-272-T3_ABR,1,ABM8-272-T3,
