Designator,Mid X,Mid Y,Rotation,Layer
C1,125.400001,-104.1,90.0,bottom
C10,129.3,-116.475,270.0,bottom
C11,116.575,-101.575,270.0,bottom
C12,121.05,-109.3,180.0,bottom
C13,124.5,-116.475,270.0,bottom
C14,127.7,-116.475,270.0,bottom
C15,122.2,-115.7,0.0,bottom
C16,121.1,-112.45,90.0,bottom
C17,122.65,-112.5,270.0,bottom
C18,139.1,-94.71615,0.0,bottom
C19,139.1,-103.51615,180.0,bottom
C2,127.000001,-104.1,90.0,bottom
C20,161.8,-101.3,0.0,bottom
C21,141.5,-87.3,0.0,bottom
C22,164.9,-97.0,0.0,bottom
C23,164.9,-104.5,0.0,bottom
C24,164.85,-111.975,0.0,bottom
C3,129.6,-104.1,90.0,bottom
C4,134.4,-108.1,180.0,bottom
C5,134.4,-111.7,180.0,bottom
C6,134.4,-113.3,180.0,bottom
C7,138.8,-107.2,180.0,bottom
C8,139.229201,-113.329,0.0,bottom
C9,126.1,-116.475,270.0,bottom
C_3V3_1,161.8,-107.4,0.0,bottom
C_CELL_FLT1,147.1,-111.7,0.0,bottom
C_CELL_FLT2,147.1,-110.1,0.0,bottom
C_CELL_FLT3,147.1,-108.5,0.0,bottom
C_CELL_FLT4,147.1,-106.9,0.0,bottom
C_CELL_FLT5,147.1,-105.3,0.0,bottom
C_CELL_FLT6,147.1,-103.7,0.0,bottom
C_CP1,155.0,-114.6,270.0,bottom
C_MID1,153.4,-114.6,270.0,bottom
C_PACK_E1,120.4,-81.1,180.0,top
C_PACK_E2,120.4,-83.5,180.0,top
C_PACK_FLT1,158.2,-114.6,270.0,bottom
C_REG1,150.9,-92.35,0.0,bottom
C_REGIN1,150.2,-97.0,180.0,bottom
C_SRN_GND1,155.6,-99.8,270.0,bottom
C_SRP_GND1,151.0,-99.825,90.0,bottom
C_SRP_SRN1,153.3,-99.8,0.0,bottom
C_TOP_FLT1,151.8,-114.6,270.0,bottom
C_VDD1,161.8,-109.0,180.0,bottom
C_VREF1,161.8,-102.9,180.0,bottom
D1,111.175,-109.875,90.0,top
D10,118.3,-94.8,180.0,top
D11,126.1,-94.8,180.0,top
D12,133.9,-94.8,180.0,top
D13,141.5,-94.8,180.0,top
D14,149.3,-94.8,180.0,top
D15,157.1,-94.8,180.0,top
D16,163.2,-97.9,90.0,top
D17,162.9,-63.0,180.0,top
D18,151.0,-111.8,270.0,top
D19,122.4,-86.7,225.0,top
D2,110.6,-94.6,90.0,top
D20,113.3,-85.1,180.0,bottom
D21,119.8,-63.5,90.0,top
D3,123.9,-106.7,270.0,top
D4,122.3,-106.71325,270.0,top
D5,120.7,-106.71325,270.0,top
D6,134.2,-94.7,270.0,bottom
D7,141.9,-94.7,270.0,bottom
D8,136.3,-94.7,270.0,bottom
D9,119.1,-106.71325,270.0,top
DAGND_CO1,161.4,-97.9,90.0,top
D_CHG_VGS1,156.9,-79.5,90.0,bottom
D_CHG_VGS2,117.8,-63.5,90.0,bottom
FB1,115.7,-110.0,0.0,top
FB2,118.2815,-93.344814,0.0,bottom
J1,109.35,-110.0,90.0,bottom
J10,170.5,-104.5,90.0,bottom
J11,170.5,-97.0,90.0,bottom
J12,160.04,-118.0,270.0,top
J2,116.325,-72.7,90.0,top
J3,151.24,-118.0,270.0,top
J4,112.4375,-96.0,270.0,bottom
J5,133.66,-118.0,90.0,top
J6,142.44,-118.0,270.0,top
J7,164.2,-103.95,90.0,top
J8,167.1,-72.7,270.0,top
J9,170.5,-112.0,90.0,bottom
L1,119.2,-112.45,90.0,bottom
Q1,157.5,-94.65,180.0,bottom
Q2,148.875,-79.16,180.0,top
Q3,148.875,-66.08,180.0,top
Q4,134.175,-79.16,0.0,top
Q5,134.175,-66.08,0.0,top
Q6,113.2,-81.9,270.0,bottom
R1,113.0,-116.8,90.0,bottom
R10,122.1,-96.7,180.0,bottom
R11,122.0815,-95.100657,0.0,bottom
R12,127.0,-100.9,90.0,bottom
R13,125.4,-100.9,90.0,bottom
R14,148.6,-114.6,90.0,bottom
R15,136.729201,-112.529,270.0,bottom
R16,118.45,-109.25,0.0,bottom
R17,118.45,-110.05,180.0,bottom
R18,123.9,-109.81325,90.0,top
R19,122.2,-117.3,180.0,bottom
R2,114.6,-116.8,90.0,bottom
R20,122.3,-109.81325,90.0,top
R21,120.7,-109.81325,90.0,top
R22,119.1,-109.81325,90.0,top
R23,163.2,-94.8,270.0,top
R24,141.5,-85.7,180.0,top
R25,164.9,-98.6,0.0,bottom
R29,141.5,-85.7,180.0,bottom
R3,112.8,-109.875,270.0,top
R30,164.9,-106.1,0.0,bottom
R31,152.6,-111.8,270.0,top
R32,164.85,-113.575,0.0,bottom
R33,113.3,-87.1,180.0,bottom
R34,121.4,-63.5,90.0,top
R35,113.3,-88.7,0.0,bottom
R4,112.2,-94.6,270.0,top
R5,131.2,-104.1,270.0,bottom
R6,133.93,-103.37,0.0,bottom
R7,133.93,-104.97,180.0,bottom
R8,129.600001,-100.9,90.0,bottom
R9,131.200001,-100.875,270.0,bottom
R_BAL_1,118.3,-101.0,0.0,top
R_BAL_2,126.1,-101.0,180.0,top
R_BAL_3,134.0,-101.0,180.0,top
R_BAL_4,141.590386,-101.0,180.0,top
R_BAL_5,150.8,-101.0,180.0,top
R_BAL_6,157.2,-101.0,180.0,top
R_CELL_FLT1,114.5,-97.925,270.0,top
R_CELL_FLT2,120.7,-97.9,90.0,top
R_CELL_FLT3,128.519228,-97.9,90.0,top
R_CELL_FLT4,136.4,-97.9,90.0,top
R_CELL_FLT5,143.9,-97.8,90.0,top
R_CELL_FLT6,151.7,-97.9,90.0,top
R_CELL_FLT7,159.6,-97.9,90.0,top
R_CHG_DRIVER1,160.5,-79.5,90.0,bottom
R_CHG_MG1,154.1,-80.3,180.0,bottom
R_CHG_MG2,154.1,-78.7,0.0,bottom
R_CHG_PUP1,158.9,-79.5,270.0,bottom
R_DSG_DRIVER1,115.8,-63.5,90.0,bottom
R_DSG_MG1,123.0,-63.5,90.0,bottom
R_DSG_MG2,121.4,-63.5,270.0,bottom
R_DSG_PUP1,119.8,-63.5,90.0,bottom
R_GATE1,119.1,-97.9,90.0,top
